Player,Team,Pos,season,target,Age,3PA,3P%,2P%,FT%,PF,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,USG%,DBPM,BPM,VORP,SOS,NRtg,Pace,Offense Four Factors eFG%,Offense Four Factors TOV%,Offense Four Factors ORB%,Offense Four Factors FT/FGA,Defense Four Factors eFG%,Defense Four Factors TOV%,Defense Four Factors DRB%,Defense Four Factors FT/FGA,potw_count,potm_count
A.J. Price,IND,PG,2010,0,23.0,3.1,0.345,0.472,0.8,0.9,7.3,0.53,0.492,0.212,5.6,20.5,2.0,0.2,22.7,-0.4,-0.5,0.3,-0.1,-3.1,97.1,0.491,13.8,21.6,0.229,0.49,13.4,73.0,0.258,0,0
Aaron Brooks,HOU,PG,2010,0,25.0,6.4,0.398,0.454,0.822,2.4,19.6,0.549,0.394,0.224,4.2,25.6,1.2,0.3,25.7,-1.6,0.7,1.9,0.35,-0.4,94.0,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,0,0
Aaron Gray,2TM,C,2010,0,25.0,0.0,0.0,0.512,0.714,1.7,3.3,0.5315000000000001,0.193,0.265,19.8,10.6,1.5,2.7,16.4,-0.2,-1.3,0.1,0.095,-2.25,92.85,0.4915,13.0,25.700000000000003,0.203,0.5035000000000001,12.9,74.3,0.2085,0,0
Acie Law,3TM,PG,2010,0,25.0,0.6,0.313,0.508,0.776,0.6,4.3,0.5383333333333334,0.2016666666666666,0.3089999999999999,4.1,17.5,2.3,0.4,21.7,-0.4,-1.0,0.1,0.0499999999999999,-1.2666666666666666,94.63333333333333,0.4936666666666666,13.833333333333334,24.666666666666668,0.2356666666666666,0.5,14.033333333333331,72.5,0.222,0,0
Adam Morrison,LAL,SF,2010,0,25.0,0.7,0.238,0.422,0.625,0.5,2.4,0.418,0.247,0.094,7.4,11.3,0.6,0.6,18.3,-1.1,-4.7,-0.2,0.06,5.1,92.8,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.195,0,0
Al Harrington,NYK,PF,2010,0,29.0,5.7,0.342,0.496,0.757,2.9,17.7,0.546,0.397,0.308,10.5,8.6,1.4,0.9,26.8,-1.6,-0.8,0.6,-0.19,-4.0,94.0,0.509,13.0,23.5,0.2,0.526,13.3,72.1,0.207,0,0
Al Horford,ATL,C,2010,0,23.0,0.0,1.0,0.551,0.789,2.8,14.2,0.594,0.001,0.319,16.4,10.4,1.1,2.4,17.6,0.5,2.3,3.1,-0.22,5.2,90.1,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208,0,0
Al Jefferson,MIN,C,2010,0,25.0,0.1,0.0,0.5,0.68,2.7,17.1,0.524,0.004,0.236,16.0,10.0,1.3,3.0,24.3,-0.4,0.4,1.5,0.54,-9.9,96.1,0.478,14.6,26.7,0.207,0.525,13.0,73.6,0.22,0,0
Al Thornton,2TM,SF,2010,0,26.0,0.4,0.355,0.479,0.725,2.7,10.7,0.5265,0.202,0.283,8.2,7.1,1.1,1.3,19.0,-1.0,-3.1,-0.6,0.2,-6.0,92.1,0.486,14.35,27.35,0.211,0.5055000000000001,12.5,73.2,0.2264999999999999,0,0
Alando Tucker,2TM,SF,2010,0,25.0,0.5,0.143,0.5,0.762,0.4,3.4,0.5515,0.216,0.295,5.9,6.4,0.0,0.0,24.4,-3.9,-4.0,0.0,0.155,-2.4000000000000004,95.7,0.512,14.1,27.15,0.2234999999999999,0.508,12.3,72.19999999999999,0.222,0,0
Alexis Ajinça,CHA,C,2010,0,21.0,0.0,0.0,0.5,0.0,0.8,1.7,0.479,0.0,0.1,8.0,0.0,1.8,2.7,19.3,1.0,-5.3,0.0,-0.17,1.6,90.4,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,0,0
