Player,Team,Pos,season,target,PC_rzuty_all,PC_impact,PC_minutes,TOV,DWS,is_rookie,BPM,PER,OBPM,USG%,AST,DRB,potw_count,PC_rest_1,PC_rest_2,PC_rest_3,PC_rest_4,PC_rest_5,PC_rest_6,PC_rest_7,PC_rest_8,PC_rest_9,PC_rest_10
A.J. Price,IND,PG,2010,0,-0.7277820307532493,-0.6366580650469629,-0.7706282876722671,1.1,0.8,1,-0.5,14.0,-0.1,22.7,1.9,1.4,0,-1.2726773121668362,-1.10702090156724,0.8160625742523967,-1.5373960770507213,0.4018023839199043,0.16194227920953286,0.4313586643546975,-0.5570421390767254,0.5138646369783917,0.23231369789439205
Aaron Brooks,HOU,PG,2010,0,3.9589005170947624,2.1030919502454672,3.0301528807501388,2.8,1.6,0,0.7,16.0,2.3,25.7,5.3,2.0,0,1.4910780709402285,-0.8330113991882788,3.3760007289795277,-0.46534176389697796,-0.04600534477505565,-0.9014690899770036,0.2084098317456186,-0.5296976887883829,-0.2866408532280354,0.1858476804997366
Aaron Gray,2TM,C,2010,0,-1.8381158693397548,-0.7623985268756821,-1.29163821305377,0.6,0.4,0,-1.3,16.6,-1.1,16.4,0.7,1.9,0,-0.6008041330419932,-0.2488532218702384,-2.143613872584842,-0.3207195504392747,0.24165633289361602,-0.04009941312144231,-0.026457333335939477,-0.0035743823090253497,0.3874716288603748,0.36562299805469123
Acie Law,3TM,PG,2010,0,-1.3392538972392123,-0.888452520706505,-1.3311443918024175,0.7,0.2,0,-1.0,16.0,-0.6,21.7,1.0,0.5,0,-1.8196348899535537,0.3249254670609563,-0.9760300831237713,-1.9150521674938756,0.9817684265177807,0.1478254937526947,0.4648461967411287,-0.0059990046646493204,0.3653096079347493,0.5659726563323539
Adam Morrison,LAL,SF,2010,0,-2.31350081991713,-1.309711000866239,-1.350962450061561,0.3,0.2,0,-4.7,7.4,-3.6,18.3,0.6,0.7,0,-2.6221521412985562,3.543924073151303,-0.0860958934217997,-0.06317164431918501,-0.6354506202912971,0.09131594023452248,-0.051861271501322276,-0.28390004745835484,0.5040722292918663,0.63596495474916
Al Harrington,NYK,PF,2010,0,3.63188183130905,0.5503066196999323,0.6912884809547499,1.8,1.3,0,-0.8,16.8,0.8,26.8,1.5,4.4,0,1.3171135634194424,-2.7811364091226793,1.6740259138440403,0.3469476665126828,-1.0569305582987536,-0.5881212423432843,-0.16643685093912167,0.7930537904252164,-0.6759638069208572,-0.50510317782324
Al Horford,ATL,C,2010,0,3.094319529227306,4.740264371917645,2.941688205381981,1.5,3.9,0,2.3,19.4,1.8,17.6,2.3,7.0,0,4.251631207525255,0.9546043913398647,-1.7546230029937666,2.9399639480715134,-0.89616309202511,-0.24331404405118917,0.5441412451049411,-0.4607886025773283,0.7573935568097592,0.9303948662877534
Al Jefferson,MIN,C,2010,0,4.691867830461398,1.2321147331172249,2.4891949593398524,1.8,2.3,0,0.4,19.0,0.7,24.3,1.8,6.9,0,1.2830703978451883,-5.415705764653564,-2.0263271541623205,2.360994817855238,-0.8843065176277061,0.47306379735925896,-0.41515494647381007,0.21058684577380485,0.6573679748166096,0.5557735038249012
Al Thornton,2TM,SF,2010,0,1.6802544417824332,-0.5902889402859889,1.3912446860994385,1.4,1.0,0,-3.1,11.8,-2.1,19.0,1.2,2.4,0,0.03337024913436663,-2.834152132860676,-1.0437780724767287,0.9123476813499474,-0.5210322123025237,-0.3441052671983653,-0.03540120275231106,0.44125303408156047,0.9972935563910762,0.11825348978930121
Alando Tucker,2TM,SF,2010,0,-1.715298678490397,-1.1035257683780746,-1.4738483695776987,0.3,0.0,0,-4.0,13.4,-0.1,24.4,0.3,0.3,0,-3.1059260142589102,0.00022643974654541017,-1.4363786643461762,-1.821559546322578,-1.020926042413433,-0.828547751473598,0.7029542310923321,0.5733939884376056,-0.0016525110941319522,0.9858287218787685
