Player,Team,Pos,season,target,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25
A.J. Price,IND,PG,2010,0,10.02608,5.8143973,9.060987,9.696508,2.1625469,10.965544,3.6247551,3.3825731,3.5268483,4.307586,2.8398154,5.495243,5.576293,6.447511,6.0213246,4.1138177,9.361857,5.1753955,6.648931,2.5917492,5.703711,5.9142985,4.679019,5.516674,4.0463
Aaron Brooks,HOU,PG,2010,0,9.963121,5.580528,6.1928773,9.938126,2.2485592,10.607421,2.52829,2.7356894,3.8704567,4.574937,3.384264,5.752309,5.7931595,6.722797,5.9488683,4.3692,9.330472,5.1872697,6.6725135,2.492258,5.7140684,5.949215,4.613404,5.532208,4.0386286
Aaron Gray,2TM,C,2010,0,10.13724,5.8305445,8.969279,9.609857,2.0678735,9.907817,5.122021,3.077688,3.28105,4.1507254,3.285499,5.656991,5.5084763,6.6503344,5.964851,4.1401234,9.3080635,5.1379657,6.660843,2.6086714,5.675108,5.9585404,4.7268386,5.5797977,4.0892835
Acie Law,3TM,PG,2010,0,10.0933895,5.872091,9.217421,9.709022,2.1595862,10.673094,3.4478931,3.499805,3.0825276,4.4264274,2.9514143,5.477369,5.628009,6.4788194,5.8945885,4.1493077,9.309245,5.239637,6.6527233,2.5069177,5.709961,5.984632,4.5961833,5.5324388,4.0516753
Adam Morrison,LAL,SF,2010,0,10.0913315,5.852435,9.54632,9.661676,2.1146572,10.924144,4.19175,3.405425,2.249425,4.6160154,2.9064558,5.4834237,5.5598927,6.4551735,5.82409,4.183162,9.252152,5.2555804,6.5915394,2.4932182,5.678026,6.0147066,4.52811,5.544245,4.0764465
Al Harrington,NYK,PF,2010,0,10.063329,5.6762786,6.5274153,9.950177,2.1849062,11.277507,3.3215709,2.4137156,4.1049213,4.516711,3.4385397,5.8204465,5.8720665,6.834556,5.9451685,4.4218698,9.295118,5.3569093,6.747754,2.4438148,5.64023,5.98202,4.4816203,5.511681,4.041998
Al Horford,ATL,C,2010,0,9.993589,5.501787,6.098175,9.780251,2.1357827,9.389121,4.6766577,2.3512483,3.6654932,4.3076925,3.7627668,5.943415,5.579529,6.882701,6.0024076,4.3417134,9.3163395,5.002849,6.631373,2.6302533,5.6865597,5.9215302,4.80323,5.6055255,4.095902
Al Jefferson,MIN,C,2010,0,10.046258,5.612251,6.7310915,9.74848,2.1269248,9.401192,4.62348,2.531848,4.172686,4.0865436,3.6880684,5.8823442,5.5944366,6.858022,6.054,4.259646,9.350458,5.0375276,6.6909227,2.6454298,5.6904917,5.9093637,4.8300242,5.5920715,4.0821276
Al Thornton,2TM,SF,2010,0,10.068745,5.777649,7.9071145,9.7796,2.182751,10.260907,3.2936165,3.1276252,4.110314,4.2071605,3.2419615,5.6359277,5.6862674,6.64343,6.007299,4.1895905,9.362772,5.176369,6.712986,2.5585577,5.716121,5.9342885,4.703728,5.538645,4.042535
Alando Tucker,2TM,SF,2010,0,10.10045,5.8831325,9.276908,9.691603,2.1525962,10.572333,3.5715036,3.496156,3.2892082,4.3285666,2.9637573,5.4836926,5.612846,6.486752,5.9308043,4.1234593,9.32611,5.2209463,6.665986,2.5334556,5.7111125,5.968426,4.633681,5.5334463,4.0510025
Alexis Ajinça,CHA,C,2010,0,10.119633,5.872115,9.597568,9.6049595,2.0914726,10.314976,4.616425,3.3972204,2.7203553,4.345604,3.0312147,5.520932,5.5064306,6.5045304,5.897292,4.117584,9.288625,5.1798472,6.620716,2.562999,5.6889696,5.982608,4.649926,5.5630407,4.081623
Allen Iverson,2TM,PG,2010,0,10.032453,5.7401624,7.5363765,9.8411665,2.2251318,10.432005,2.6360552,3.1710553,3.992897,4.3592834,3.2045298,5.6151485,5.739865,6.6178956,5.971236,4.230335,9.356725,5.1935854,6.699603,2.5174286,5.730891,5.945703,4.659653,5.52887,4.032
Alonzo Gee,WAS,SG,2010,0,10.049577,5.826751,9.243471,9.642355,2.1351814,10.549399,4.0898304,3.3909893,3.5000453,4.201176,2.918026,5.5140047,5.5191894,6.469826,6.031789,4.080223,9.36323,5.127897,6.6458783,2.6261759,5.7059073,5.9099355,4.7373652,5.535918,4.0583606
Amar'e Stoudemire,PHO,PF,2010,2,9.985066,5.498433,5.8111286,9.814103,2.166163,9.328039,4.194535,2.3875062,4.037328,4.2477427,3.774544,5.939442,5.6188273,6.887195,6.0355797,4.334087,9.343789,4.9941807,6.6555076,2.6342213,5.704618,5.9038825,4.827908,5.5963984,4.0822954
Amir Johnson,TOR,PF,2010,0,10.095793,5.70189,7.963565,9.64902,2.0612934,9.745907,5.4841194,2.672041,3.3090358,4.1965456,3.5070305,5.805821,5.5059347,6.7725005,5.981387,4.2281656,9.2972555,5.088534,6.644481,2.6292706,5.6574926,5.9469357,4.7527733,5.596771,4.1036973
