,F-score
VORP,1074.9843706476952
OWS,650.8606607287417
WS,606.2741194806796
FTA,577.2076309816882
FT,573.4848575830895
PTS,411.19831059962394
2P,368.77777998624697
FG,368.54827496204604
2PA,324.7420743619467
TOV,317.43834839928616
FGA,306.1453726519226
DWS,280.2445295915632
AST,224.96391604130227
DRB,215.87891295543594
USG%,194.5013237025128
potm_count,189.71168829902575
potw_count,188.079853847295
GS,183.43761085563955
MP_total,170.86630045561913
is_rookie,168.56334052545031
PER,166.98173131616164
TRB,166.8231163186508
MP_avg,155.78748414222176
STL,145.84451486592545
AST%,117.06268561767975
OBPM,113.451488748619
BPM,102.06538733872767
WS/48,76.16655491614635
G,61.589467562725766
BLK,60.84880598106032
3PA,60.04738587603004
3P,58.518791262266106
Age,56.797317588832016
PF,55.97242308562785
W,54.965322947684115
SRS,54.719877975938196
L,54.40378619359001
NRtg,54.01318581195211
MOV,53.77253519827318
ORB,48.50838418580225
FTr,21.92540650465234
DBPM,21.66522593781156
DRB%,21.099766866223867
ORtg,19.47770139490163
TS%,18.280143700531625
Offense Four Factors eFG%,16.59065994733389
FG%,15.445708851682909
rookie_of_month_count,13.198799041877889
FT%,12.112991327628512
DRtg,11.25527189205223
Defense Four Factors eFG%,10.954032780608028
eFG%,10.090516473181848
TRB%,10.000046392580334
2P%,9.09168957216374
3PAr,8.63825071670292
Offense Four Factors FT/FGA,6.744224321288164
3P%,5.834147352384312
Defense Four Factors FT/FGA,5.021926396914842
Offense Four Factors TOV%,4.961966445813429
SOS,4.546392606902594
STL%,3.8647279663330796
Defense Four Factors DRB%,2.8946771646153175
BLK%,1.4147423323337232
Offense Four Factors ORB%,1.3511288356406852
Defense Four Factors TOV%,0.7709679039992902
ORB%,0.5853087385885977
TOV%,0.42636549867991336
Pace,0.14251796783497753
