,Mutual Info
VORP,0.1056158104502003
WS,0.10318535614215651
PTS,0.0986907018955343
FG,0.09206886131376124
FTA,0.08958912295273858
BPM,0.08724483491875934
PER,0.08647342901996802
FT,0.08569571340483528
OWS,0.08415722894609123
FGA,0.08338165384316198
OBPM,0.08319670551487435
2P,0.08233964818817907
2PA,0.07154220414427548
MP_avg,0.07123930956826863
TOV,0.06935675105194217
WS/48,0.0638421470638566
MP_total,0.06379784685871304
USG%,0.06057164556625283
GS,0.0597169366677055
DWS,0.05936182233420739
DRB,0.0543006545639404
TRB,0.0444978775101319
STL,0.04288165024401147
AST,0.04206551930492286
is_rookie,0.0394091059522661
Age,0.032967702286617495
AST%,0.029690609620333097
G,0.027134759501798777
FTr,0.021680249954512343
PF,0.021662486888153643
FG%,0.021555170248263256
3PA,0.021160335407528263
ORB,0.02053089516144757
3P,0.019294082162993664
W,0.018720565863736605
NRtg,0.018061381021063694
L,0.017984230535444956
potw_count,0.017526816067075623
SRS,0.016538709594615453
TS%,0.016186745581894924
FT%,0.01541003368454219
BLK,0.01419951582951029
DBPM,0.013960273207962448
2P%,0.013409680203317897
eFG%,0.013118134580794916
MOV,0.012770251570291657
DRB%,0.008698476414492617
potm_count,0.008577255002780726
TOV%,0.008398266321389292
3PAr,0.008001356218531708
STL%,0.007923254668584567
TRB%,0.007135624418739495
BLK%,0.006047446521393551
Defense Four Factors eFG%,0.0049044195124618994
ORB%,0.003984832000513805
Offense Four Factors TOV%,0.003111743628940067
ORtg,0.0028944316809507153
Offense Four Factors eFG%,0.002837011663284983
3P%,0.0019285942838698222
DRtg,0.0013174963638802328
Offense Four Factors FT/FGA,0.0006807523609444477
SOS,0.0
Offense Four Factors ORB%,0.0
Pace,0.0
Defense Four Factors FT/FGA,0.0
Defense Four Factors DRB%,0.0
Defense Four Factors TOV%,0.0
rookie_of_month_count,0.0
